"transcript","cluster","GO"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0150104"
"TRINITY_DN10033_c0_g1_i2",1,"GO:1902476"
"TRINITY_DN100360_c0_g1_i1",1,NA
"TRINITY_DN1003_c0_g1_i10",1,"GO:0005229"
"TRINITY_DN1003_c0_g1_i10",1,"GO:0005886"
"TRINITY_DN1003_c0_g1_i10",1,"GO:0006869"
"TRINITY_DN1003_c0_g1_i10",1,"GO:0046983"
"TRINITY_DN1003_c0_g1_i10",1,"GO:1902476"
"TRINITY_DN100480_c0_g1_i1",1,NA
"TRINITY_DN100512_c0_g1_i2",1,NA
"TRINITY_DN100560_c0_g1_i1",1,NA
"TRINITY_DN100570_c0_g1_i1",1,NA
"TRINITY_DN100579_c0_g1_i2",1,"GO:0005737"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0006886"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0006887"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0007186"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0008092"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0017158"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0030658"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0031267"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0032024"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0042593"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0045202"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0045744"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0046872"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0061669"
"TRINITY_DN100579_c0_g1_i2",1,"GO:0098793"
"TRINITY_DN1005_c0_g1_i4",1,NA
"TRINITY_DN100624_c0_g1_i1",1,"GO:0000149"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0001778"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0001786"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0005509"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0005516"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0005544"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0005546"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0005764"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0005765"
