	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84
TRINITY_DN100652_c0_g1_i1	0	1	1	1	0	3	6	3	4	12	2	2	1	3	6	7	2	2	3	6	1	6	3	7	2	1	3	3	5	0	5	5	2	0	10	1	1	6	4	6	11	2	4	3	13	1	1
TRINITY_DN100656_c0_g1_i1	0	2	2	0	0	0	1	2	2	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	4	1	1	0	0	0	0	0
TRINITY_DN100659_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	10	8	1	0	0	15	16	0	0	0	0	0	0	1	0	43
TRINITY_DN10065_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
TRINITY_DN10065_c0_g1_i2	0	16	9	5	0	9	18	16	21	60	21	14	1	24	21	13	11	3	22	15	23	21	17	23	6	7	24	22	31	0	18	12	31	4	12	17	12	10	27	31	19	21	12	8	22	1	14
TRINITY_DN100666_c0_g1_i1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0
TRINITY_DN10067_c0_g2_i1	0	10	3	5	0	5	9	11	7	19	4	15	3	32	14	3	3	8	21	19	30	22	26	26	8	4	11	4	7	2	17	22	46	3	33	28	13	21	20	6	21	16	10	13	63	5	28
TRINITY_DN100680_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	20	4	0	0	0	0	1	0	0	0	19
TRINITY_DN100690_c0_g1_i1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN10071_c0_g1_i1	0	0	0	0	0	0	0	2	3	2	0	0	0	3	4	0	2	1	1	0	4	4	2	3	0	0	0	0	0	0	2	0	4	4	11	3	3	3	4	0	2	0	5	3	9	0	3
TRINITY_DN100720_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
TRINITY_DN100727_c0_g1_i1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100737_c0_g1_i3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	4	1	0	0	0	0
TRINITY_DN100742_c0_g1_i2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100745_c0_g1_i2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	4	0	0
TRINITY_DN100756_c0_g1_i1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100758_c0_g1_i2	0	5	0	5	0	2	6	4	5	14	13	3	1	8	9	1	3	4	3	6	6	9	4	8	5	3	10	6	6	1	5	5	12	1	11	11	7	7	7	6	3	6	9	2	16	1	0
TRINITY_DN10076_c0_g1_i1	0	2	0	1	0	0	4	5	4	10	3	3	2	37	46	22	25	23	60	40	42	46	33	49	1	4	4	7	7	0	54	17	68	5	61	47	11	33	60	3	36	26	22	27	79	11	33
TRINITY_DN100780_c0_g1_i1	0	5	4	1	0	0	5	4	2	7	0	6	0	1	4	1	1	0	0	7	3	1	1	4	2	1	2	4	5	2	0	0	8	1	6	4	0	4	7	3	3	3	1	2	6	2	4
TRINITY_DN100795_c0_g1_i1	0	1	1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0
TRINITY_DN1007_c0_g1_i10	0	6	7	10	0	4	33	24	21	57	24	11	4	9	7	4	4	7	6	1	0	14	5	10	1	10	24	17	28	3	4	1	7	1	15	13	0	5	12	29	4	9	5	8	15	0	5
TRINITY_DN100800_c1_g1_i1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
TRINITY_DN10080_c0_g1_i3	0	6	2	5	0	0	6	4	9	20	6	11	2	36	33	13	5	9	13	17	12	26	28	38	1	2	7	4	8	1	25	14	31	4	59	17	11	19	45	8	11	20	28	25	41	1	24
TRINITY_DN10081_c0_g1_i1	0	2	0	1	0	0	1	1	0	6	1	1	1	12	9	11	7	7	7	8	8	9	7	13	0	0	2	2	5	1	11	3	9	1	18	11	3	11	12	3	7	3	5	8	13	2	9
TRINITY_DN100849_c0_g2_i1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN10084_c0_g1_i1	0	1	0	4	0	1	1	2	2	2	1	2	0	8	4	0	0	0	5	9	3	3	6	7	0	0	0	0	3	0	0	3	13	3	6	3	3	6	7	4	0	7	5	13	18	7	2
